47658c9cff05caaffd85722b6f81dd163f680f03d4026474a098f966e2f528b3,47658c9cff05caaffd85722b6f81dd163f680f03d4026474a098f966e2f528b3_resptime,6c871093253858350d730f80cfbc5109aa2529d9cda37341989ea8854485663e,6c871093253858350d730f80cfbc5109aa2529d9cda37341989ea8854485663e_resptime,9f7c42b1b5e58255e47691a7b28b08272a9e6a7db596871d300d5ed6a0363e35,9f7c42b1b5e58255e47691a7b28b08272a9e6a7db596871d300d5ed6a0363e35_resptime,875652920ad86e74f898a9dfa1a0a6d75c94f7aa794d3591659111603c7ff872,875652920ad86e74f898a9dfa1a0a6d75c94f7aa794d3591659111603c7ff872_resptime
5116,295,446,30,1532,32,368,2282
5236,295,283,30,1208,32,221,2282
5610,295,206,30,2623,32,327,2282
5272,295,171,30,3273,32,418,2282
5293,295,189,30,1701,32,322,2282
5104,295,165,30,1543,32,535,2282
5299,295,1424,30,2143,32,219,2282
5706,295,1514,30,2229,32,235,2282
5220,295,1528,30,2002,32,256,2282
5352,295,1154,30,1013,32,596,2282
5110,295,609,30,1288,32,723,2282
5306,295,227,30,1743,32,606,2282
6352,295,144,30,3102,32,632,2282
5237,295,159,30,2601,32,843,2282
5237,295,156,30,2753,32,792,2282
5292,295,150,30,2104,32,724,2282
5029,295,174,30,1597,32,930,2282
5621,295,145,30,2126,32,1077,2282
5154,295,137,30,1567,32,475,2282
5251,295,132,30,1608,32,1010,2282
5047,295,184,30,1537,32,407,2282
5194,295,160,30,1404,32,1029,2282
5571,295,155,30,1744,32,813,2282
5164,295,149,30,1552,32,1027,2282
5243,295,140,30,2407,32,678,2282
5049,295,156,30,3475,32,970,2282
5130,295,166,30,1804,32,710,2282
5784,295,184,30,1371,32,703,2282
5080,295,183,30,1121,32,918,2282
5152,295,189,30,1551,32,410,2282
5101,295,157,30,1507,32,1406,2282
5171,295,179,30,1215,32,903,2282
5743,295,182,30,2540,32,738,2282
5180,295,209,30,3183,32,769,2282
5258,295,189,30,1706,32,730,2282
5112,295,144,30,1547,32,572,2282
5219,295,164,30,2085,32,1030,2282
5863,295,153,30,2262,32,838,2282
5181,295,162,30,1961,32,735,2282
5294,295,190,30,1403,32,559,2282
5132,295,180,30,1308,32,750,2282
5425,295,198,30,2164,32,562,2282
7585,295,197,30,4387,32,733,2282
5337,295,1003,30,3465,32,776,2282
5242,295,1449,30,2995,32,1186,2282
5066,295,154,30,2125,32,617,2282
5213,295,4812,30,1534,32,852,2282
5653,295,5564,30,2165,32,750,2282
5327,295,2406,30,1562,32,716,2282
5213,295,3759,30,1669,32,605,2282
5061,295,4068,30,1589,32,928,2282
5383,295,2746,30,1392,32,485,2282
5640,295,2281,30,1817,32,665,2282
5281,295,4857,30,1573,32,731,2282
5274,295,4144,30,2495,32,909,2282
5039,295,4890,30,3482,32,622,2282
5277,295,5329,30,1696,32,548,2282
5827,295,3982,30,1168,32,785,2282
5316,295,4541,30,1197,32,302,2282
5153,295,3165,30,1484,32,1443,2282
5034,295,3446,30,1513,32,620,2282
5247,295,4975,30,1225,32,728,2282
5650,295,4893,30,2514,32,655,2282
5219,295,4068,30,3135,32,1106,2282
5422,295,6282,30,1687,32,820,2282
5093,295,5023,30,1484,32,958,2282
5304,295,4477,30,2127,32,617,2282
5744,295,5150,30,2190,32,398,2282
5207,295,2827,30,2036,32,594,2282
5426,295,2675,30,1361,32,544,2282
5064,295,4153,30,1341,32,532,2282
5353,295,3961,30,1970,32,356,2282
6139,295,5981,30,3087,32,471,2282
5158,295,6729,30,2615,32,403,2282
5180,295,6694,30,2584,32,452,2282
5132,295,6576,30,2121,32,564,2282
5190,295,3986,30,1584,32,281,2282
5602,295,2441,30,2345,32,713,2282
5125,295,5636,30,1713,32,666,2282
5195,295,6337,30,1617,32,621,2282
5082,295,5777,30,1580,32,443,2282
5208,295,5398,30,1448,32,125,2282
5560,295,4467,30,1702,32,815,2282
5125,295,5265,30,1413,32,713,2282
5168,295,5115,30,2476,32,484,2282
4996,295,6838,30,3431,32,304,2282
5248,295,2040,30,1766,32,673,2282
5769,295,2023,30,1218,32,699,2282
5119,295,5130,30,1136,32,574,2282
5263,295,2694,30,1494,32,440,2282
5038,295,3308,30,1499,32,717,2282
5324,295,3274,30,1275,32,450,2282
5613,295,3360,30,2550,32,334,2282
5149,295,2158,30,3103,32,427,2282
5228,295,3557,30,1697,32,585,2282
5116,295,3182,30,1451,32,524,2282
5234,295,1470,30,2083,32,433,2282
5790,295,2079,30,2168,32,533,2282
5168,295,1365,30,2005,32,779,2282
5179,295,2326,30,1512,32,310,2282
5161,295,2573,30,1394,32,332,2282
5480,295,2925,30,1883,32,436,2282
7599,295,13770,30,3486,32,971,2282
5282,295,21341,30,2664,32,1779,2282
5187,295,8828,30,2656,32,1122,2282
5082,295,1693,30,2030,32,1308,2282
5323,295,2735,30,1604,32,569,2282
5766,295,4484,30,2216,32,1170,2282
5170,295,4384,30,1621,32,693,2282
5173,295,3786,30,1644,32,586,2282
5082,295,1972,30,1552,32,688,2282
5428,295,3860,30,1511,32,532,2282
5712,295,4353,30,1769,32,242,2282
5195,295,1911,30,1468,32,254,2282
5187,295,4989,30,2465,32,424,2282
5060,295,1625,30,3452,32,676,2282
5362,295,1619,30,1719,32,538,2282
5903,295,3238,30,1191,32,290,2282
5235,295,4013,30,1158,32,444,2282
5114,295,3733,30,1474,32,247,2282
5026,295,1780,30,1506,32,293,2282
5276,295,4307,30,1260,32,271,2282
5831,295,4221,30,2681,32,384,2282
5240,295,1784,30,3052,32,309,2282
5251,295,2796,30,1701,32,338,2282
5051,295,1905,30,1497,32,258,2282
5342,295,3937,30,1993,32,275,2282
5886,295,1282,30,2296,32,331,2282
5222,295,2966,30,1986,32,199,2282
5292,295,2586,30,1361,32,167,2282
5109,295,3349,30,1448,32,290,2282
5439,295,3267,30,1902,32,146,2282
6434,295,5364,30,3129,32,277,2282
5274,295,2561,30,2581,32,75,2282
5176,295,5485,30,2491,32,324,2282
5181,295,4130,30,2098,32,191,2282
5255,295,3185,30,1638,32,78,2282
5759,295,4859,30,2155,32,369,2282
5314,295,4485,30,1618,32,229,2282
5212,295,3156,30,1590,32,157,2282
5046,295,2906,30,1623,32,328,2282
5301,295,3478,30,1335,32,246,2282
5622,295,4024,30,1736,32,160,2282
5310,295,4529,30,1917,32,257,2282
5201,295,5031,30,2604,32,299,2282
5038,295,2115,30,3594,32,174,2282
5230,295,4632,30,1802,32,234,2282
5849,295,4294,30,1235,32,247,2282
5206,295,4151,30,1112,32,404,2282
5250,295,1630,30,1483,32,244,2282
5094,295,1658,30,1549,32,314,2282
5287,295,1890,30,1222,32,258,2282
5697,295,2115,30,2535,32,254,2282
5214,295,2404,30,3124,32,256,2282
5362,295,2469,30,1652,32,174,2282
5080,295,1257,30,1527,32,416,2282
5290,295,3975,30,2113,32,267,2282
5763,295,1657,30,2169,32,305,2282
5212,295,3351,30,1964,32,306,2282
5266,295,2043,30,1361,32,313,2282
5217,295,2811,30,1388,32,134,2282
5476,295,1685,30,1933,32,307,2282
7970,295,1587,30,11600,32,211,2282
5508,295,1287,30,6440,32,365,2282
5237,295,1231,30,4627,32,259,2282
5065,295,1437,30,1907,32,307,2282
5175,295,3739,30,1629,32,273,2282
5637,295,3232,30,2244,32,318,2282
5337,295,3685,30,1892,32,220,2282
6118,295,3075,30,1617,32,188,2282
5068,295,2921,30,1587,32,293,2282
5309,295,3019,30,1388,32,363,2282
5632,295,4214,30,1754,32,304,2282
5342,295,4096,30,1711,32,313,2282
5442,295,1419,30,2798,32,345,2282
5031,295,6281,30,3162,32,333,2282
5282,295,6383,30,1846,32,419,2282
5829,295,7273,30,1293,32,497,2282
5222,295,6321,30,1184,32,389,2282
5124,295,7237,30,1465,32,295,2282
5167,295,6103,30,1585,32,229,2282
5277,295,8045,30,1227,32,268,2282
5599,295,6085,30,2540,32,371,2282
5221,295,2660,30,3125,32,551,2282
5189,295,5522,30,1680,32,271,2282
5237,295,8765,30,1510,32,631,2282
5305,295,9234,30,2150,32,214,2282
5756,295,7241,30,2175,32,706,2282
5191,295,7442,30,2026,32,493,2282
5208,295,5865,30,1265,32,410,2282
5098,295,4826,30,1373,32,354,2282
5431,295,5588,30,1981,32,703,2282
6213,295,5381,30,3183,32,341,2282
5606,295,5362,30,2551,32,254,2282
5121,295,7100,30,2169,32,355,2282
5035,295,6304,30,1946,32,162,2282
5398,295,5306,30,1627,32,369,2282
5668,295,7890,30,2195,32,228,2282
5203,295,7604,30,1625,32,430,2282
5173,295,9104,30,1668,32,220,2282
5059,295,5521,30,1543,32,165,2282
5393,295,8987,30,1356,32,475,2282
5681,295,8039,30,1675,32,249,2282
5250,295,5247,30,1758,32,413,2282
5229,295,4933,30,2692,32,239,2282
5071,295,2532,30,3427,32,328,2282
5388,295,6098,30,1688,32,317,2282
5819,295,7486,30,1152,32,278,2282
5221,295,9304,30,1184,32,309,2282
5110,295,6777,30,1524,32,286,2282
4999,295,3314,30,1506,32,427,2282
5362,295,2358,30,1256,32,300,2282
5761,295,3790,30,2552,32,211,2282
5265,295,3082,30,3059,32,434,2282
5240,295,1724,30,1631,32,503,2282
5118,295,3343,30,1656,32,461,2282
5299,295,4118,30,2660,32,343,2282
5899,295,4698,30,2668,32,627,2282
5236,295,1106,30,2047,32,357,2282
5203,295,1472,30,1282,32,241,2282
5060,295,3475,30,1434,32,573,2282
5487,295,1274,30,1909,32,477,2282
7240,295,3162,30,8962,32,634,2282
5471,295,1258,30,10246,32,530,2282
5140,295,1544,30,2217,32,313,2282
5187,295,3033,30,1947,32,298,2282
5277,295,2120,30,1726,32,585,2282
5605,295,1930,30,2100,32,528,2282
5295,295,2658,30,1584,32,378,2282
5174,295,3231,30,1596,32,503,2282
5083,295,2083,30,1621,32,331,2282
5309,295,2606,30,1369,32,360,2282
5530,295,2735,30,1947,32,391,2282
5215,295,3273,30,1679,32,316,2282
5245,295,2138,30,2448,32,305,2282
5089,295,2021,30,2595,32,307,2282
5214,295,2979,30,1764,32,344,2282
5857,295,3854,30,1159,32,429,2282
5206,295,2398,30,1308,32,517,2282
5089,295,3605,30,1500,32,288,2282
4979,295,2808,30,2179,32,399,2282
5308,295,1388,30,1669,32,318,2282
5536,295,1189,30,2475,32,466,2282
5325,295,1114,30,3092,32,739,2282
5183,295,2731,30,1749,32,451,2282
5101,295,1637,30,1458,32,490,2282
5305,295,2574,30,2469,32,507,2282
5609,295,2246,30,2404,32,506,2282
5338,295,1954,30,2013,32,432,2282
6704,295,1392,30,1271,32,673,2282
5209,295,1108,30,1413,32,267,2282
5389,295,1859,30,1933,32,608,2282
6129,295,1995,30,3024,32,335,2282
5233,295,1864,30,2254,32,489,2282
5210,295,2809,30,2018,32,390,2282
5124,295,2920,30,2001,32,288,2282
5220,295,2067,30,1583,32,554,2282
5617,295,1976,30,2051,32,372,2282
5195,295,3128,30,1494,32,218,2282
5312,295,3598,30,1638,32,343,2282
5056,295,3279,30,1540,32,237,2282
5335,295,3268,30,1395,32,227,2282
5508,295,3078,30,1793,32,191,2282
5221,295,2451,30,1771,32,346,2282
5256,295,2107,30,3298,32,231,2282
5046,295,3492,30,2810,32,338,2282
5257,295,3114,30,1670,32,217,2282
5682,295,1589,30,1140,32,339,2282
5206,295,2419,30,1114,32,526,2282
8334,295,2564,30,1547,32,276,2282
7372,295,2673,30,2162,32,186,2282
5364,295,2129,30,1390,32,469,2282
5548,295,3463,30,2521,32,234,2282
5256,295,3478,30,3103,32,229,2282
5200,295,3698,30,1687,32,297,2282
5183,295,3317,30,1523,32,195,2282
5295,295,2628,30,2108,32,409,2282
5644,295,2954,30,2214,32,245,2282
5309,295,3716,30,1953,32,356,2282
5226,295,2033,30,1315,32,163,2282
5140,295,3131,30,1371,32,306,2282
5589,295,4527,30,1893,32,276,2282
7364,295,3256,30,8251,32,433,2282
5394,295,1775,30,8037,32,1506,2282
5230,295,3697,30,3693,32,1708,2282
5120,295,2437,30,2182,32,1907,2282
5303,295,2718,30,1559,32,2484,2282
5519,295,2334,30,2096,32,2378,2282
5328,295,2915,30,1613,32,2319,2282
5241,295,1086,30,2442,32,1601,2282
5171,295,1969,30,1780,32,1181,2282
5319,295,2408,30,1305,32,2275,2282
5627,295,2262,30,1764,32,1280,2282
5222,295,1603,30,1801,32,1172,2282
5268,295,2623,30,2767,32,2170,2282
5116,295,2097,30,3135,32,1443,2282
5242,295,2290,30,1615,32,1115,2282
5859,295,2670,30,1151,32,1696,2282
5184,295,2855,30,1135,32,2023,2282
5178,295,2408,30,1475,32,1628,2282
5079,295,3430,30,1565,32,229,2282
5274,295,2905,30,1267,32,1735,2282
5540,295,3221,30,2490,32,2002,2282
5323,295,2774,30,3125,32,1527,2282
5361,295,2373,30,1686,32,1454,2282
5127,295,1093,30,1527,32,1719,2282
5303,295,1092,30,2189,32,1956,2282
5700,295,1826,30,2098,32,1846,2282
5302,295,2314,30,1952,32,1940,2282
5308,295,2152,30,1380,32,1599,2282
5096,295,1740,30,1490,32,1986,2282
5431,295,1132,30,1955,32,1651,2282
6264,295,1106,30,3036,32,2460,2282
5191,295,2238,30,2391,32,2198,2282
5217,295,2084,30,2790,32,1530,2282
5119,295,2535,30,2119,32,1108,2282
5271,295,2059,30,1582,32,1335,2282
5709,295,3190,30,2038,32,1800,2282
5216,295,3725,30,1519,32,960,2282
5215,295,2572,30,1658,32,1173,2282
5072,295,2057,30,1582,32,545,2282
5297,295,2550,30,1278,32,1317,2282
5612,295,2769,30,1679,32,876,2282
5240,295,1637,30,1659,32,1488,2282
5299,295,2267,30,2417,32,899,2282
5085,295,1803,30,2629,32,851,2282
5214,295,2571,30,2094,32,672,2282
5685,295,2469,30,1439,32,623,2282
5275,295,2763,30,1132,32,948,2282
5243,295,1616,30,1458,32,539,2282
5078,295,3983,30,1547,32,304,2282
5272,295,1625,30,1228,32,1315,2282
5592,295,3914,30,2661,32,948,2282
5453,295,2598,30,3058,32,1043,2282
5522,295,3591,30,1764,32,613,2282
5162,295,2130,30,1515,32,667,2282
5340,295,2530,30,2177,32,443,2282
5666,295,1136,30,2116,32,653,2282
5384,295,2628,30,1923,32,916,2282
5296,295,2431,30,1275,32,602,2282
5270,295,1924,30,1349,32,573,2282
5472,295,2354,30,2028,32,706,2282
7427,295,2832,30,8406,32,587,2282
5435,295,2441,30,7439,32,1054,2282
5439,295,3787,30,5362,32,872,2282
5171,295,3070,30,6642,32,487,2282
5281,295,3113,30,5136,32,918,2282
5605,295,2258,30,5783,32,703,2282
5282,295,1153,30,4876,32,920,2282
5425,295,1351,30,6482,32,510,2282
5111,295,1905,30,5505,32,665,2282
5313,295,2152,30,6931,32,817,2282
5719,295,1194,30,6609,32,631,2282
5370,295,1121,30,7327,32,189,2282
5237,295,2088,30,6510,32,832,2282
5114,295,2035,30,5909,32,680,2282
5125,295,2509,30,6436,32,804,2282
5597,295,3657,30,5844,32,699,2282
5246,295,2842,30,7113,32,666,2282
5284,295,2384,30,6558,32,429,2282
5046,295,2573,30,6533,32,1090,2282
4953,295,2597,30,5654,32,615,2282
5446,295,3087,30,5832,32,510,2282
5654,295,2079,30,5279,32,646,2282
5551,295,2701,30,5754,32,192,2282
4885,295,3490,30,6489,32,624,2282
5282,295,3186,30,4908,32,455,2282
5438,295,2277,30,5344,32,689,2282
5159,295,1470,30,5714,32,598,2282
5163,295,1683,30,6080,32,503,2282
4686,295,1887,30,5787,32,280,2282
5057,295,1936,30,6892,32,1097,2282
5530,295,3368,30,8580,32,1024,2282
4982,295,3541,30,5958,32,750,2282
5169,295,2247,30,7705,32,335,2282
4894,295,1051,30,7693,32,830,2282
4796,295,1488,30,5512,32,575,2282
5444,295,1796,30,4881,32,478,2282
5008,295,1093,30,3849,32,586,2282
5029,295,2639,30,3582,32,641,2282
4617,295,1972,30,5316,32,705,2282
4876,295,2971,30,5891,32,797,2282
5519,295,2147,30,3959,32,488,2282
4934,295,2925,30,5530,32,588,2282
5293,295,3106,30,5635,32,224,2282
5151,295,2998,30,8063,32,263,2282
5024,295,2125,30,6242,32,347,2282
5788,295,2856,30,5404,32,216,2282
5187,295,1950,30,4127,32,327,2282
5333,295,2131,30,4391,32,354,2282
4995,295,1815,30,5655,32,380,2282
4957,295,2888,30,6845,32,236,2282
5534,295,2438,30,7145,32,420,2282
5117,295,1129,30,7832,32,332,2282
5450,295,1678,30,7987,32,160,2282
4911,295,2356,30,6746,32,256,2282
4924,295,2660,30,4671,32,148,2282
5517,295,2964,30,4486,32,326,2282
5253,295,2803,30,6082,32,399,2282
5333,295,2749,30,4984,32,351,2282
4877,295,89,30,4748,32,313,2282
4996,295,72,30,4497,32,505,2282
7331,295,102,30,5093,32,244,2282
5096,295,23,30,5292,32,314,2282
5382,295,31,30,7189,32,435,2282
4787,295,34,30,8751,32,210,2282
5235,295,28,30,7433,32,248,2282
5665,295,38,30,7070,32,387,2282
5330,295,33,30,6817,32,160,2282
5203,295,29,30,6155,32,206,2282
4723,295,34,30,5804,32,214,2282
4961,295,25,30,3935,32,139,2282
5775,295,31,30,3108,32,301,2282
4988,295,24,30,1876,32,218,2282
5250,295,32,30,2222,32,218,2282
4624,295,30,30,2903,32,296,2282
4733,295,24,30,1722,32,210,2282
5964,295,31,30,1276,32,162,2282
5373,295,52,30,1277,32,204,2282
5283,295,40,30,1616,32,265,2282
4744,295,44,30,1520,32,216,2282
5180,295,37,30,1755,32,155,2282
5766,295,35,30,2539,32,172,2282
5182,295,23,30,3002,32,165,2282
5409,295,27,30,1582,32,124,2282
4688,295,30,30,1495,32,140,2282
4993,295,33,30,2045,32,181,2282
5619,295,32,30,2123,32,184,2282
5281,295,43,30,2005,32,106,2282
5420,295,122,30,1227,32,232,2282
4680,295,58,30,1502,32,158,2282
4934,295,60,30,1781,32,107,2282
6206,295,68,30,2582,32,132,2282
5084,295,34,30,2389,32,215,2282
5418,295,75,30,2592,32,167,2282
4730,295,27,30,2279,32,157,2282
4953,295,68,30,1527,32,231,2282
5680,295,59,30,1974,32,121,2282
5156,295,55,30,1571,32,213,2282
5263,295,54,30,1743,32,200,2282
4632,295,50,30,1566,32,88,2282
4866,295,55,30,1403,32,177,2282
5886,295,50,30,1821,32,176,2282
5146,295,55,30,2068,32,133,2282
5895,295,39,30,2533,32,228,2282
4724,295,34,30,2730,32,225,2282
4896,295,51,30,1655,32,229,2282
5890,295,41,30,1252,32,201,2282
5226,295,34,30,1212,32,252,2282
5302,295,35,30,1557,32,320,2282
4964,295,51,30,1607,32,199,2282
4871,295,36,30,1507,32,192,2282
6174,295,41,30,2688,32,196,2282
7233,295,38,30,3039,32,190,2282
5489,295,63,30,1586,32,53,2282
4804,295,62,30,1645,32,176,2282
4924,295,43,30,2038,32,173,2282
5692,295,32,30,2063,32,87,2282
5324,295,52,30,1962,32,169,2282
5404,295,56,30,1091,32,152,2282
4749,295,63,30,1221,32,123,2282
4917,295,70,30,1880,32,142,2282
7709,295,313,30,5319,32,178,2282
5237,295,278,30,3955,32,416,2282
5705,295,412,30,2755,32,245,2282
4914,295,211,30,2285,32,266,2282
5043,295,242,30,1612,32,141,2282
5759,295,150,30,1997,32,156,2282
5245,295,65,30,1518,32,283,2282
5419,295,74,30,1690,32,288,2282
4878,295,64,30,1568,32,255,2282
4823,295,112,30,1439,32,194,2282
5790,295,553,30,1732,32,222,2282
5151,295,270,30,2071,32,215,2282
5417,295,112,30,2740,32,311,2282
4847,295,59,30,2713,32,84,2282
4832,295,76,30,1744,32,261,2282
5860,295,100,30,1317,32,202,2282
5255,295,68,30,1366,32,151,2282
5434,295,51,30,1701,32,215,2282
5010,295,61,30,1516,32,274,2282
4775,295,48,30,1498,32,150,2282
5694,295,69,30,2701,32,210,2282
5062,295,50,30,2936,32,231,2282
5382,295,67,30,1599,32,134,2282
4761,295,76,30,1478,32,73,2282
4901,295,70,30,2033,32,115,2282
5630,295,47,30,2064,32,77,2282
5124,295,54,30,1995,32,106,2282
5324,295,73,30,1114,32,72,2282
4945,295,75,30,1247,32,103,2282
4885,295,70,30,1791,32,98,2282
6307,295,82,30,2551,32,114,2282
5028,295,71,30,2576,32,92,2282
5637,295,69,30,2558,32,85,2282
4937,295,56,30,2292,32,121,2282
4970,295,73,30,1518,32,119,2282
5839,295,78,30,1944,32,121,2282
5278,295,72,30,1582,32,182,2282
5303,295,101,30,1553,32,270,2282
4935,295,76,30,1553,32,696,2282
4878,295,70,30,1339,32,181,2282
6011,295,69,30,1966,32,740,2282
5152,295,72,30,1993,32,741,2282
5438,295,87,30,2575,32,152,2282
4916,295,90,30,2729,32,107,2282
4796,295,94,30,1670,32,142,2282
5988,295,96,30,1336,32,144,2282
5323,295,107,30,1279,32,271,2282
5319,295,101,30,1646,32,218,2282
4963,295,98,30,1566,32,203,2282
4755,295,96,30,1481,32,196,2282
5650,295,106,30,2716,32,232,2282
5155,295,110,30,2959,32,367,2282
5348,295,126,30,1561,32,203,2282
5098,295,142,30,1507,32,155,2282
4783,295,147,30,2030,32,107,2282
5650,295,165,30,2115,32,144,2282
5263,295,165,30,1943,32,256,2282
5324,295,155,30,1161,32,299,2282
5636,295,177,30,1252,32,349,2282
4813,295,143,30,1839,32,269,2282
7454,295,177,30,2951,32,291,2282
5183,295,159,30,2687,32,473,2282
5503,295,125,30,2638,32,437,2282
4878,295,146,30,2127,32,414,2282
4883,295,156,30,1713,32,340,2282
5626,295,145,30,1940,32,485,2282
5281,295,122,30,1470,32,311,2282
5336,295,143,30,1556,32,265,2282
4951,295,145,30,1575,32,552,2282
4915,295,145,30,1425,32,473,2282
6118,295,146,30,1791,32,269,2282
5238,295,171,30,1979,32,456,2282
5413,295,110,30,2650,32,286,2282
4863,295,130,30,2631,32,268,2282
4843,295,140,30,1665,32,380,2282
5958,295,141,30,1307,32,437,2282
5377,295,138,30,1279,32,193,2282
5238,295,156,30,1551,32,765,2282
4903,295,149,30,1523,32,810,2282
4783,295,156,30,1471,32,246,2282
5733,295,179,30,2781,32,455,2282
5160,295,145,30,2978,32,984,2282
5287,295,181,30,1561,32,996,2282
4728,295,170,30,1485,32,236,2282
4919,295,192,30,2020,32,525,2282
5624,295,171,30,2124,32,198,2282
5198,295,187,30,2089,32,462,2282
5328,295,184,30,1203,32,332,2282
4801,295,200,30,1267,32,738,2282
4799,295,205,30,1812,32,304,2282
6250,295,202,30,2656,32,365,2282
5083,295,199,30,2644,32,311,2282
5388,295,171,30,2546,32,270,2282
4906,295,195,30,2232,32,463,2282
4898,295,190,30,1568,32,397,2282
5656,295,202,30,1950,32,278,2282
6008,295,194,30,1448,32,814,2282
5416,295,205,30,1603,32,291,2282
5046,295,191,30,1529,32,565,2282
4942,295,401,30,1395,32,345,2282
5946,295,5139,30,1749,32,289,2282
5214,295,2622,30,2112,32,331,2282
5366,295,226,30,2611,32,470,2282
4994,295,196,30,2672,32,366,2282
4768,295,239,30,1628,32,456,2282
5841,295,257,30,1309,32,1021,2282
5221,295,264,30,1372,32,979,2282
5253,295,278,30,1594,32,1307,2282
5112,295,265,30,1500,32,521,2282
4730,295,285,30,1519,32,152,2282
5651,295,903,30,2682,32,362,2282
5008,295,674,30,2961,32,369,2282
5557,295,361,30,1588,32,393,2282
5168,295,363,30,1519,32,544,2282
5126,295,371,30,2045,32,327,2282
5672,295,385,30,2101,32,433,2282
5154,295,406,30,1882,32,507,2282
5256,295,436,30,1136,32,542,2282
4965,295,435,30,1237,32,457,2282
4949,295,457,30,1861,32,459,2282
7548,295,455,30,2745,32,693,2282
5049,295,449,30,2675,32,1058,2282
5384,295,435,30,2613,32,1130,2282
5060,295,518,30,2244,32,1089,2282
5016,295,498,30,1579,32,962,2282
5690,295,549,30,1967,32,819,2282
5283,295,502,30,1592,32,673,2282
5298,295,572,30,1562,32,819,2282
4980,295,459,30,1514,32,546,2282
4882,295,537,30,1409,32,913,2282
5937,295,415,30,1873,32,382,2282
5180,295,507,30,2135,32,659,2282
5403,295,457,30,2634,32,627,2282
4947,295,466,30,2710,32,723,2282
4843,295,407,30,1655,32,706,2282
6105,295,490,30,1351,32,643,2282
5355,295,390,30,1294,32,472,2282
